Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
8 принципов здоровья: Как увеличить жизненную энергию,Волков А.,"В основе подхода доктора Волкова к медицине лежит идея единства всех процессов, где человек - часть системы. Здоровье он считает оптимальным состоянием, когда организм адекватно реагирует на внешние раздражители. Если мы хотим быть энергичными и работоспособными - не надо лекарств, достаточно отказаться от вредной для себя пищи, избавиться от вредных воздействий и ненужных нагрузок.",4 000 тг,0,Альпина Паблишер,2017 г.,9785916710342,192,Твердый,200 мм x 130 мм,283 г.,http://www.bookcity.kz/content/images/thumbs/5047265_1368536.jpeg
Акупрессура,Неизвестно,"Акупрессура основывается на принципах рефлексологии и энергетических принципах китайского иглоукалывания использование иглы в акупрессуре заменяется на простое надавливание пальцем. Речь идет о безболезненной технике, которую каждый может применять с легкостью при отсутствии врача в поездке, для лечения легких недомоганий, уже выявленных ранее, или для того, чтобы ограничить применение лекарств. Акупрессура поможет каждому быстро достичь хороших результатов.",1 500 тг,5,АСТ,2019 г.,9785170487561,40,Мягкий,215 мм x 170 мм,97 г.,http://www.bookcity.kz/content/images/thumbs/5068295_1407998.jpeg
Акупунктура и апитерапия при лечении заболеваний костно-мышечной системы. Практическое руководство,Усакова Н.А.,"В данном практическом руководстве представлены сведения о рефлексотерапевтических методах лечения и методах апитерапии при наиболее распространенных заболеваниях костно-мышечной системы. Предлагаемые данные подходы базируются на традиционных подходах врачей древнего Востока, современных ученых и отражают многолетний опыт сотрудников кафедры неврологии, рефлексотерапии и остеопатии ГБОУ ДПО КГМА (зав. кафедрой - д. м. н., профессор Г.А.Иваничев). Предложенные схемы представляют собой общие рекомендации, основываясь на которые врач должен выбрать индивидуальное лечение для конкретного больного. Практическое руководство предназначено для широкого круга врачей, владеющих и интересующихся акупунктурой, а изложенный материал облегчит усвоение начинающими специалистами методов традиционной медицины.",2 000 тг,4,Амрита-Русь,2017 г.,9785000539736,40,Мягкий,290 мм x 220 мм,155 г.,http://www.bookcity.kz/content/images/thumbs/5099876_1433523.jpeg
Акупунктура и апитерапия при лечении заболеваний опорно-двигательного аппарата,Усакова Н.А.,"В данном практическом руководстве представлены сведения о рефлексотерапевтических методах лечения и методах апитерапии при наиболее распространенных заболеваниях опорно-двигательного аппарата. Предлагаемые данные подходы базируются на традиционных подходах врачей древнего Востока, современных ученых и отражают многолетний опыт сотрудников кафедры неврологии, рефлексотерапии и остеопатии ГБОУ ДПО КГМА (зав. кафедрой - д. м. н., профессор Г. А. Иваничев). Предложенные схемы представляют собой об-щие рекомендации, основываясь на которые врач должен выбрать индивидуальное лечение для конкретного больного.Практическое руководство предназначено для широкого круга врачей, владеющих и интересующихся акупунктурой, а изложенный материал облегчит усвоение начинающими специалистами методов традиционной медицины.",3 600 тг,4,Тигле,2017 г.,9785903558209,Мягкий,5 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5117060_1429515.jpeg
Акупунктурные точки китайской чжэньцзю-терапии,Белоусов П.В.,"Данное издание является третьей книгой серии «Китайская чжэньцзю-терапия». Книга составлена путем перевода с китайского официальных учебных материалов институтов китайской медицины системы высшего образования КНР, в первую очередь серии печатных изданий Института китайской медицины г. Тяньцзин, материалов Интернет-сайта Института китайской медицины г. Наньцзин.",4 000 тг,5,Алматы,2010 г.,9789965945250,Мягкий,27 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5074225_1407712.jpeg
Антицеллюлитный самомассаж,Васичкин В.И.,"Васичкин Владимир Иванович — автор популярных книг, справочников, учебных пособий и методик массажа. Практикующий массажист с огромным опытом работы, специалист по разнообразным техникам лечебного и косметического массажа. Вы держите в руках уникальный самоучитель антицеллюлитного массажа. Все техники и приемы массажа описаны понятно и подробно, проиллюстрированы фотографиями.",900 тг,5,Питер,2010 г.,9785498073545,144,Мягкий,215 мм x 145 мм,146 г.,http://www.bookcity.kz/content/images/thumbs/5072902_1356905.jpeg
Ароматерапия с позиций аюрведы,Миллер Л.,Неизвестно,8 600 тг,0,Саттва,2017 г.,9785852961099,25 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5131400_1463767.jpeg
Ароматерапия. Профилактика и лечение заболеваний,Неизвестно,"Книга предоставит вам возможность разобраться в различных свойствах ароматов, поможет в лечении и профилактике многих болезней.",900 тг,0,Амрита-Русь,2018 г.,9785413013502,64,Мягкий,200 мм x 130 мм,55 г.,http://www.bookcity.kz/content/images/thumbs/4663674_1365902.jpeg
Астродиагностика. Диагноз по дате рождения,Петренко В.В.,"Природа дала людям рефлексы, чтобы обеспечить стабильную работу нервной системы, воспринимающей космическую информацию, и организовывать хорошую работу нашего мозга. ""Но сегодня мы не признаём законы Вселенной, поэтому болеем и живём совсем недолго"", - считает Валентина Петренко. В новой книге подробно описаны методы астродиагностики - диагностики в соответствии со знаком зодиака - наиболее распространенных заболеваний. Благодаря знанию индивидуальных особенностей вашего организма и описанным методикам вполне можно вслед за автором обрести активное долголетие!",900 тг,4,Амрита-Русь,2017 г.,9785000534496,144,Мягкий,165 мм x 107 мм,105 г.,http://www.bookcity.kz/content/images/thumbs/5076779_1415999.jpeg
Атлас акупунктурных точек и меридианов. Выпуск 8,Усакова Н.А.,Иллюстрированный атлас биологически активных точек и меридианов для лечения больных с использованием методов рефлексотерапии.,2 200 тг,4,Амрита-Русь,2018 г.,9785413017524,24,Мягкий,3 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5076797_1416017.jpeg
