100 легендарных боксеров,Клавусть Д.П.,"Серия книг о самых лучших в мире местах и достижениях человечества. В каждой книге представлены 100 объектов по теме с красочными иллюстрациями, интересными описаниями и полезной информацией. Соберите всю коллекцию этих потрясающих книг, и на вашей книжной полке будут издания о самых красивых в мире местах, дворцах, замках, автомобилях, о самых известных предметах оружия, о лучших в мире спортсменах и многом другом. Это будет коллекция, которой, без сомнения, можно гордиться!",4 500 тг,5,Эксмо,2016 г.,9785699879526,96,Твердый,12 мм,655 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5094242_1432178.jpeg
"100 мест, где исполняются желания",Неизвестно,"Серия книг о самых лучших в мире местах и достижениях человечества. В каждой книге представлены 100 объектов по теме с красочными иллюстрациями, интересными описаниями и полезной информацией. Соберите всю коллекцию этих потрясающих книг, и на вашей книжной полке будут издания о самых красивых в мире местах, дворцах, замках, автомобилях, о самых известных предметах оружия, о лучших в мире спортсменах и многом другом. Это будет коллекция, которой, без сомнения, можно гордиться! ""100 мест, где исполняются желания"" содержит интересные факты о самых волшебных местах планеты. Это чудесный подарок каждому!",4 400 тг,5,Эксмо,2017 г.,9785699958306,96,Твердый,13 мм,645 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5102127_1438652.jpeg
"100 самых романтических мест мира, чтобы найти свою любовь",Неизвестно,"""100 самых романтических мест мира"" - книга о лучших в мире местах для романтиков. Она позволит вам насладиться романтической атмосферой мира, узнать о самых романтических странах и городах, найти свое романтическое место... Отправьтесь в увлекательное путешествие по романтическим местам мира!",4 000 тг,0,Эксмо,2018 г.,9785040900275,96,Твердый,20 мм,415 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5115868_1448846.jpeg
100 чудес света,Неизвестно,"Серия книг о самых лучших в мире местах и достижениях человечества. В каждой книге представлены 100 объектов по теме с красочными иллюстрациями, интересными описаниями и полезной информацией. Соберите всю коллекцию этих потрясающих книг, и на вашей книжной полке будут издания о самых красивых в мире местах, дворцах, замках, автомобилях, о самых известных предметах оружия, о лучших в мире спортсменах и многом другом. Это будет коллекция, которой, без сомнения, можно гордиться!",4 000 тг,4,Эксмо,2016 г.,9785699861170,Твердый,12 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5126055_1458561.jpeg
100 шахматных этюдов. Практикум по эндшпилю,Селезнев А.С.,"Сборник этюдов замечательного русского шахматного ком¬позитора Алексея Селезнева (1888-1967) не только погружает нас в удивительный мир красивых и запоминающихся идей, доведенных до совершенной формы. Он незаменим при са¬мостоятельной работе над шахматами, ведь этюды Селезнева тесно связаны с практической игрой и в большинстве своем носят учебный характер. Отметим также безупречность этю¬дов, выдержавших компьютерную проверку.",2 100 тг,4,Русский шахматный дом,2013 г.,9785946932783,104,Мягкий,215 мм x 145 мм,5 мм,155 г.,http://www.bookcity.kz/content/images/thumbs/5057087_1398777.jpeg
"1000 мест, которые стоит посетить: Аляска.",Неизвестно,"Аляска - самый крупный и самый безлюдный американский штат. Но бескрайние горы, гигантские ледники и удивительная дикая природа не позволят скучать туристам, которые отважились насладиться суровыми пейзажами Аляски. А Идитароид, ежегодная гонка на собачьих упряжках, известная всему миру, и встречи с коренными жителями этих мест дарят всем незабываемые минуты волнения и азарта.Для любой зрительской аудитории!  В основу этой захватывающей поездки лег мировой бестселлер Патриции Шульц, рассказывающий о самых знаменитых и загадочных местах земного шара, которые должен посетить каждый любознательный человек.",1 300 тг,0,Не указано,2006 г.,4690503001954,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5006574_1328173.jpeg
"1000 мест, которые стоит посетить: Камбоджа. DVD",Неизвестно,"Камбоджа. Королевство Камбоджа предоставляет своим гостям безграничные возможности для поиска новых впечатлений. Здесь каждый, кто мечтает постичь экзотические тайны этого древнего государства, сможет насладиться величавой красотой Ангкора, исследовать Тонле Сап, самую большую пресноводную пойму в мире, и посетить печально известные Поля Смерти.",1 300 тг,0,Не указано,4690503001985,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5006456_1328590.jpeg
"1000 мест, которые стоит увидеть",Жерсаль Ф.,"1000 мест, 1000 ударов сердца - вот что предлагает Фредерик Жерсаль в этой книге, которая поведет вас по неизведанным дорогам Франции!",4 000 тг,0,АСТ,2011 г.,9785170749423,992,200 мм x 130 мм,50 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5036436_1358433.jpeg
1000 самых известных монет в мире. Иллюстрированная энциклопедия нумизмата,Ларин-Подольский И.А.,"История всего мира — в истории 1000 самых уникальных и знаменитых монет! Эта книга станет прекрасным подарком не только начинающим нумизматам, но и людям, интересующимся увлекательной историей монет и историей разных стран и континентов. В ней рассказывается о форме государственной власти, о степени развития промышленности и техники в стране, выпустившей монету, о династических проблемах и особенностях геральдики. Благодаря этой книге вы познакомитесь с шедеврами монетного искусства древнего мира, с лучшими европейскими монетами нового времени, с денежной системой СССР и России, с уникальными монетами Австралии, Океании, государств Азии и многих других стран.",17 600 тг,0,Эксмо,2019 г.,9785699804771,Твердый,30 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5128552_1461033.jpeg
1000 учебных матовых комбинаций,Алонсо Л.М.,"Книга опытного тренера Луиса Мигеля Алонсо представляет собой подробный начальный курс шахматной тактики.Вы познакомитесь с самыми важными тактическими приёмами шахматной игры, позволяющими добраться до короля противникаи объявить ему мат.Вторая часть книги - обширный практикум на закрепление полученных знаний.",4 500 тг,2,Русский шахматный дом,2018 г.,9785946937023,256,Твердый,240 мм x 170 мм,0 мм,615 г.,http://www.bookcity.kz/content/images/thumbs/5120208_1453021.jpeg
