"Изображения","Имя","Базовая цена","Описание","Короткое описание","Категории"
"https://rus-buket.ru/files/icons/icon-625.png","Подарок Шары гелиевые 5 шт.","3080.0","Разноцветные гелиевые шарики 5шт.","
","Подарок"
"https://rus-buket.ru/files/icons/icon-378.png","Подарок Раффаэлло 150г","3300.0","Сладкий комплимент к прекрасному букету.Raffaello - это больше, чем конфеты! Это символ совершенного вкуса и идеальной презентации. Что может быть лучше, когда нужно подарить маленький праздник и подчеркнуть свою любовь и уважение?","
			Раффаэлло 150г
		","Подарок"
"https://rus-buket.ru/files/icons/icon-376.png","Подарок Вкусный торт","5500.0","Очень вкусный, свежий торт, 700 гр. - 1 кг. Подарите сладкую радость дорогим людям в виде вкусного тортика! Это лакомство сделает жизнь слаще, а настроение ярче. Такой презент понравится всем!","
			Вкусный торт
		","Подарок"
"https://rus-buket.ru/files/icons/icon-59.png","Подарок Мишка","8360.0","Отличное дополнение к красивому букету.
","
			Мишка 
		","Подарок"
"https://rus-buket.ru/files/icons/icon-335.png","Подарок Корзина фруктов","14025.0","яблоки, апельсины,  мандарины, виноград, ананас, бананы, корзина большая ","
			Корзина фруктов
		","Подарок"
"https://rus-buket.ru/files/icons/icon-333.png","Подарок Открытка ручной работы","2145.0","Подчеркните свою любовь и уважение необычным дополнением! Элегантная открытка ручной работы с живыми цветами – нетривиальное видение привычного атрибута для подарка. Шикарная «обертка» для теплых слов дорогим людям.","
			Роза розовая 50см - 1, Хризантема кустовая - 1, Букетная карточка, Лента, Рускус, Гипсофила
		","Подарок"
"https://rus-buket.ru/files/icons/icon-1323.png","Подарок Открытка ручной работы для нее","1705.0","Открытка ручной работы – лучший знак внимания для нее и выражение любви. Вам только останется придумать важные слова и искренние пожелания, которые мы впишем. Красивая вещица, которая наверняка порадует любимую!","
","Подарок"
"https://rus-buket.ru/files/icons/icon-1603.png","Подарок Набор конфет «торт Рафаэлло» 200 гр","6105.0","Думаете, чем дополнить цветочную композицию? Коллекцией из самых романтичных конфет Raffaello! Незабываемый букет вкуса создают миндаль, кокосовый крем и кокосовые хлопья. Скажите «Люблю» вместе. Вес – 200 грамм.","
","Подарок"
"https://rus-buket.ru/files/icons/icon-1604.png","Подарок Ферреро 200г","4235.0","Изящный ларчик с золотом – поистине королевский подарок. 16 прекрасных мгновений наслаждения подарят лесные орешки, укутанные в нежнейший ореховый крем и хрустящую вафлю.","
","Подарок"
"https://rus-buket.ru/files/icons/icon-1258.png","Подарок Молочный шоколад Dove","1210.0","Подарите порцию эндорфиновой радости для организма вместе с плиткой нежнейшего молочного шоколада Dove. Плитки натурального лакомства станут прекрасным дополнением к основному подарку!","
","Подарок"
"https://rus-buket.ru/files/icons/icon-1605.png","Подарок Ферреро 300г","7480.0","Что может быть желанней сладкого праздничного послевкусия? Подарите мгновения блаженства и наслаждения нежнейшей ореховой начинкой в оправе из молочного шоколада и россыпи ореховой крошки.","
","Подарок"
"https://rus-buket.ru/files/icons/icon-334.png","Подарок Корзина лакомств","14960.0","Крекер, конфеты коркунов, конфеты рафаэлло, шоколад альпен гольд, шоколад риттерспорт, конфеты весовые, печенье, корзина большая","
			Корзина лакомств
		","Подарок"
"https://rus-buket.ru/files/icons/icon-336.png","Подарок Коробка конфет с бутоньеркой","4565.0","Изысканным дополнением к шоколадному комплименту станет бутоньерка из живых цветов","
			Коробка конфет с бутоньеркой
		","Подарок"
"https://rus-buket.ru/files/icons/icon-1309.png","Подарок Корзина Киндер","11220.0","Киндер-сюрприз - 7 шт., Сизаль, Лента, КорзинаЛюбимое и взрослыми и детьми нежнейшее лакомство с маленьким, но очень приятным сюрпризом внутри. Такой киндер-корзинке будут рады все без исключения!","
","Подарок"
"https://rus-buket.ru/files/icons/icon-1565.png","Подарок для мужчины","17270.0","Хотите оригинально поздравить мужчину с праздником? Преподнесите необычную корзину, в которой собран стандартный мужской набор. Безалкогольное пиво, фисташки, носки и колбаса красиво уложены и представляют собой веселый и приятный подарок.","
","Подарок"
"https://rus-buket.ru/files/icons/icon-1514.png","Подарок Американские сладости","14960.0","Всевозможные вкусности от лучших мировых производителей собрались в одной подарочной корзине, чтобы превратить любой день в праздник","
","Подарок"
"https://rus-buket.ru/files/icons/icon-1296.png","Подарок Будь здоров!","14025.0","Мед горный; Апельсины; Гранат; Лимон; Мандарины; Аскорбинка; Гематоген; Сушки декор; КорзинаТеперь заряд здоровья можно подарить! Самый полезный, вкусный и неординарный подарок, который можно презентовать дорогим вам людям. Заботиться о здоровье легко с нашей помощью.","
","Подарок"
"https://rus-buket.ru/files/icons/icon-1614.png","Подарок Новогодняя корзина","6215.0","Истинно новогодний подарок порадует как маленьких так и взрослых. Диаметр корзинки 20 см.","
","Подарок"
"https://rus-buket.ru/files/53206.png","Подарок Открытка новогодняя","715.0","Красочная открытка – это не только новогоднее настроение, а и прекрасная «упаковка» искренних пожеланий и даже подарков!","
","Подарок"
"https://rus-buket.ru/files/icons/icon-1300.png","Подарок Корзина детская","13090.0","Мишка 15 см; Медвежонок Барни; Киндер шоколад; Киндер сюрприз; Шоколад Милки вэй; Шоколад Нестле; Какао Несквик; Шоколад биг пикник; Кукурузные палочки; Гематоген детский; КорзинаНаша детская корзинка завоюет любовь детворы с первого взгляда. Здесь мишка Тедди охраняет лучший детский шоколад и напитки – Kinder, Милки Вэй, Барни, Несквик. Счастью малышей не будет границ!","
","Подарок"
"https://rus-buket.ru/files/icons/icon-1568.png","Подарок Чайная корзина","13365.0","Подарочный набор станет универсальным подарком по любому поводу. Каждый найдет для себя особенно приятное в этом наборе. Эта композиция всегда кстати, наслаждайтесь…","
","Подарок"
"https://rus-buket.ru/files/icons/icon-1322.png","Подарок Открытка ручной работы для него","1705.0","Сдержанная и мужественная, как ваш любимый мужчина, открытка ручной работы подчеркнет его лучшие достоинства. А нежное признание внутри растопит его сердце.","
","Подарок"
"https://rus-buket.ru/files/icons/icon-1600.png","Подарок Дед мороз шоколадный","1650.0","Приближайте новогоднее настроение, подкладывая сладкие шоколадные фигурки Деда Мороза детворе под ёлку, коллегам и друзьям. Лакомство, которое тает во рту. Чудеса делать так просто!","
","Подарок"
"https://rus-buket.ru/files/icons/icon-1601.png","Подарок Набор конфет новогодний 500г","5170.0","Настоящая феерия вкуса для маленьких сладкоежек в особом новогоднем наборе конфет! Вот чему искренне обрадуются дочурка и сынок, племянники и крестники.","
","Подарок"
"",,,,,
