Live Book Черный юмор для белых,Тишков,"Карикатуры и рисунки, вошедшие в эту книгу, создавались в 70-е и 80-е годы двадцатого века, многие были опубликованы в разных популярных газетах и журналах тех времен, некоторые публикуются впервые. В этой книге - первая полная подборка ранних работ Тишкова-карикатуриста. Каждым своим рисунком Тишков подтверждает, что весь окружающий нас мир - это только линии на бумаге.",5 000 тг,0,Гаятри,2008 г.,9785968901484,160,Твердый,290 мм x 220 мм,19 мм,637 г.,http://www.bookcity.kz/content/images/thumbs/5022645_1344672.jpeg
Афоризмы великих врачей,Бутромеев В.П. ред.,Неизвестно,8 400 тг,5,Олма,2018 г.,9785001112310,Твердый,270 мм x 210 мм,20 мм,820 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122373_1455118.jpeg
Афоризмы великих женщин,Неизвестно,"Выбранные высказывания — тонкие наблюдения, отражающие взгляд женщины на внутренний и окружающий мир, в том числе и на различных его представителей. Остроумные, меткие, глубокие афоризмы говорят о потрясающей женской интуиции, оригинальности и яркости женского ума, исключительной наблюдательности и мудрости.",1 500 тг,1,АСТ,2016 г.,9785170984664,192,Твердый,14 мм,150 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5101646_1438216.jpeg
Афоризмы великих мужчин,Неизвестно,"Остроумные, меткие, глубокие афоризмы говорят о целях и образе действия мужчин, преобразовывавших этот мир, совершавших победы, строивших и защищавших империи. Сборник содержит статьи о жизни и творчестве знаменитых мужчин, чтобы читатель понял, в каких обстоятельствах формировались их характеры.",1 600 тг,4,АСТ,2016 г.,9785170984701,192,Твердый,15 мм,145 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5101832_1438381.jpeg
Афоризмы восточной мудрости,Неизвестно,"Мудрость — это определенное выражение мыслей, основанное на опыте и сконцентрированное на идеях мыслителей и философов. Восточная мудрость — это сочетание глубоких знаний и жизненного опыта великих мира сего. Философия Востока стала единой многообразной системой идей для различных поколений. На Востоке считается, что без духовного развития любые знания бесполезны, так как мудрость всегда находится по другую сторону интеллекта и сознания. В этой книге мы предлагаем вам самую лучшую подборку афоризмов восточных мудрецов, которые помогут открыть новые имена, делая познания наиболее полными и глубокими.",1 400 тг,4,АСТ,2017 г.,9785170979011,192,Твердый,18 мм,140 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5101642_1438212.jpeg
Афоризмы Древней Греции и Рима,Кожевников А.Ю.,"Культурные шедевры Древней Греции и основы законности и государства, заложенные в Древнем Риме, - вот тот фундамент, на котором уже два тысячелетия стоит вся европейская цивилизация. Осознавая это или нет, мы ежедневно обращаемся к нашим корням, уходящим в античные времена, пользуясь мудростью древних, их крылатыми словами и афоризмами. Платон и Аристотель, Сократ и Сенека, Геродот и Плутарх, Гомер и Вергилий, Эзоп и Апулей, Софокл и Эсхил ? вот лишь несколько имен великих древних мудрецов из этой книги, обращающихся к нам через века и говорящих о самом главном: о любви и смерти, богатстве и милосердии, здоровье и знаниях. В этом красочно иллюстрированном подарочном издании перед вами предстанут основы тысячелетней мудрости человечества!",8 400 тг,5,Олма Медиа Групп,2019 г.,9785001114338,Твердый,15 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5133661_1465637.jpeg
Афоризмы советских вождей,Коваль Ю.И.,"Несмотря на то, что Советский Союз давно канул в Лету, интерес к противоречивой и сложной советской эпохе не угасает. И вряд ли что-то сможет характеризовать ее лучше, чем пламенные выступления и речи советских вождей и общественных и культурных деятелей. В сборнике собраны мысли и высказывания, иллюстрирующие советскую действительность в самых разных ее аспектах, здесь не только политические лозунги и призывы к мировому пожару, но и суждения о смысле жизни, о человеческом предназначении, об искусстве и о многом другом.",7 200 тг,1,Олма Медиа Групп,2014 г.,9785373068383,304,Твердый,290 мм x 205 мм,28 мм,1050 г.,http://www.bookcity.kz/content/images/thumbs/5071674_1411206.jpeg
Большая жизнь хулиганствующего ортодокса,Раскин И.З.,"За полтора десятка лет книга ""ЭНЦИКЛОПЕДИЯ ХУЛИГАНСТВУЮЩЕГО ОРТОДОКСА"" набрала тираж более МИЛЛИОНА экземпляров. Теперь читатели могут познакомиться с мемуарами ее автора - известного московского книжника, книголюба и книгопродавца, вдохновенного собирателя анекдотов. Человека (как он сам о себе говорит), воспитанного маршами Чернецкого, стихами Исаковского и фильмами Чиаурели.  Его автобиография - тоже ЭНЦИКЛОПЕДИЯ (жизни самого Иосифа Раскина). В ней автор по-прежнему ХУЛИГАНСТВУЕТ. И по-прежнему остается веселым ОРТОДОКСОМ.",2 300 тг,1,"Книжный Клуб 36,6",2007 г.,9785986970998,400,Твердый,217 мм x 145 мм,23 мм,535 г.,http://www.bookcity.kz/content/images/thumbs/5068545_1408250.jpeg
Большая книга восточной мудрости (с драконом),Неизвестно,"Более 1000 лучших восточных притч и афоризмов в одной книге. Древний Китай, Тибет, Япония, Средняя Азия, Ближний Восток, Индия раскроются перед вами жемчужинами буддийской, даосской, конфуцианской, дзенской, суфийской, индуистской, хасидской и христианской мудрости. Притчи, рассказанные простым и понятным языком, и драгоценные афоризмы помогут вам понять самих себя, придадут сознанию ясность и свежесть и даже подскажут выход в непростой ситуации или оригинальное решение проблемы. Яркое подарочное оформление и вечно живая мудрость древних времен делают эту книгу запоминающимся и значимым подарком как для ценителей восточной культуры и философии, так и для тех, кто ищет мудрого совета и руководства на каждый день. Книга снабжена приложением, посвященным религиозно-философским учением Востока, примечаниями, перечнем дополнительной литературы и алфавитным указателем.",8 100 тг,5,Эксмо,2018 г.,9785040904143,800,Твердый,60 мм,800 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5117679_1450600.jpeg
Большая книга мудрости,Неизвестно,"С древних времен человеческая мысль обращалась в слова и пленяла дух. Мастерство слова всегда помогало найти путь к человеческим сердцам, недаром ораторское искусство ценилось на протяжении веков. Книга, которую вы держите в руках, - это сборник цитат и изречений, передававшихся из поколения в поколение. Античность, Древний Восток, Новое и Новейшее время оживут перед вами и предстанут самыми яркими и запоминающимися образами. Деятели литературы, науки, религии, искусства и кино с разных концов света воодушевляют, мотивируют, вдохновляют на переосмысление основ жизни и бытия, напоминают о вечных истинах и истинных целях.",8 800 тг,4,Эксмо,2018 г.,9785699758616,800,Твердый,200 мм x 130 мм,75 мм,965 г.,http://www.bookcity.kz/content/images/thumbs/5064575_1404905.jpeg
Большая книга мудрости и остроумия,Душенко К.В.,"В этой книге собраны афоризмы, которые могли бы заинтересовать современного читателя. Многие из них принадлежат античным писателям, классикам XVII, XVIII, XIX веков. И если современные авторы все же преобладают, то это потому, что Сенека ничего не писал о компьютерах, Вольтер - о кино, а Марк Твен - о фрейдизме. Здесь есть изречения, заставляющие задуматься есть фразы, заставляющие улыбнуться. Но самые лучшие - те, в которых улыбку и мысль нельзя разделить. Они-то и составляют ядро ""Большой книги мудрости и остроумия"".",7 400 тг,1,Эксмо,2018 г.,9785699820955,1008,Твердый,215 мм x 145 мм,49 мм,1030 г.,http://www.bookcity.kz/content/images/thumbs/5078204_1417453.jpeg
Большая книга одесского юмора,"Хаит В.И., Квартет И, Карцев Р.А. и др.","Не уменьшающаяся с годами популярность произведений Бабеля, Ильфа и Петрова, Катаева, Олеши, продолжающееся блистательное творчество Михаила Жванецкого, вот уже почти 20 лет выходящий в Одессе юмористический журнал ""Фонтан"" - благоприятствовали появлению в ""Столице юмора"" новых талантливых авторов, пишущих в веселом жанре. Мы предлагаем вниманию читателей произведения некоторых из них. Какие-то из этих имен вам хорошо знакомы, какие-то нет. Но мы надеемся, что представленные в этой книге рассказы, стихи и миниатюры не только достойно продолжат одесские литературные традиции, но и станут любимым чтением истинных поклонников настоящего одесского юмора...",5 600 тг,4,Эксмо,2016 г.,9785699899210,928,Твердый,215 мм x 145 мм,50 мм,840 г.,http://www.bookcity.kz/content/images/thumbs/5091866_1429803.jpeg
