100 великих скульпторов,Мусский С.,"Скульптура - одно из наиболее древних по происхождению искусств. И первым скульптором материальных, осязаемых форм был, безусловно, Создатель всего сущего. Пытаясь воссоздать в глине или камне окружающий мир любой скульптор стремится не просто воплотить страсть к творчеству, но и наделить холодную форму огнем живого жизненного начала, одухотворить материю, стать причастным к сотворению мира. В этом притягательная мощь искусства скульптуры.",1 700 тг,3,Вече,2007 г.,9785953326599,480,Твердый,215 мм x 145 мм,458 г.,http://www.bookcity.kz/content/images/thumbs/5027088_1348920.jpeg
100 фигур мазурки,Яцковский В.Ф.,"Мазурка - бальный танец польского происхождения, исключительно популярный в XIX в. в Европе и России. Впервые увидевшее свет в 1891 г., данное руководство содержит описание фигур мазурки - танцевальных схем. Книга предназначалась в помощь распорядителям и участникам балов и танцевальных вечеров. Настоящее издание дополнено описанием техники исполнения основных элементов мазурки. Книга адресована хореографам - специалистам по историко-бытовому и народно-характерному танцу, а также участникам художественной самодеятельности, любителям танца.",3 000 тг,0,Планета Музыки,2010 г.,9785811411757,224,Твердый,140 мм x 100 мм,139 г.,http://www.bookcity.kz/content/images/thumbs/5056816_1325928.jpeg
3D-рисование. Гиперреализм,Пабст С.,"С помощью простого карандаша вы можете сделать рисунки, которые вызовут шок и восторг у зрителей. Автор книги Стефан Пабст - известнейший художник, работающий в этой манере - создает фотографически реальные 3D изображения чего угодно: небольших предметов, автомобилей и даже портреты людей. В своей книге он рассказывает и показывает пошагово, как достигает такого потрясающего эффекта. Вы сможете повторить его шедевры, а также создать свои собственные, а ваше художественное мастерство поднимется на качественно новый уровень! Начиная с таких азов, как светотень, перспектива и изображение разнообразных фактур и материалов, вы постепенно дойдете до цветных изображений и гиперереалистических шедевров, от которых захватывает дух. Люди не верят своим глазам, когда видят эти картины, поднимающиеся с плоской поверхности и буквально оживающие.",4 700 тг,0,Питер,2017 г.,9785906417534,10 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132340_1464687.jpeg
"50 шляп, которые изменили мир",Андерсон Р.,"Они согревают и украшают, помогают создать нужное впечатление и придают шарм, поднимают самооценку… Цилиндр, шляпа с перьями, викторианский чепец, шляпка-таблетка, двууголка, берет, фуражка и шлем – каждый из этих головных уборов по-своему прекрасен, каждый повлиял на историю моды в целом и конкретно на то, что носим сегодня мы с вами. Книга знакомит с самыми выдающимися образцами шляп и других головных уборов, создававшимися на протяжении веков. Великолепные фотографии сопровождаются информацией, которая окажется полезной тем, кто интересуется вопросами стиля и красоты и постоянно совершенствует свой имидж.",3 200 тг,0,Азбука-Аттикус,2014 г.,978538906380801,112,Твердый,215 мм x 170 мм,405 г.,http://www.bookcity.kz/content/images/thumbs/5060366_1401047.jpeg
7 простых уроков рисования,Барбер Б.,"Уроки известного рисовальщика Баррингтона Барбера разработаны специально для начинающих художников. Даже если вы никогда карандаша или кисти в руках не держали, начните с простых упражнений Барбера, и у вас все получится! Этот курс подробно рассматривает изображение человека: лица и их выражения, фигуру и разнообразные позы и формы тела, движения рук, постановку ног, мягкие складки одежды. а также животных: домашних любимцев и диких зверей, птиц, лошадей. Вы удивитесь, как легко будете переходить от простых линий и набросков к портретам знакомых и изображению животных в движении!",3 700 тг,5,Питер,2019 г.,9785446109982,Мягкий,8 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5124290_1456950.jpeg
99 и еще 1 глупый вопрос об искусстве,Никонова А.В.,"О чем эта книга Эта книга, которая ответит на 100 вопросов, связанных с искусством. Их задавали совершенно разные по возрасту, профессии и с разным уровнем образования люди. Она написана простым и понятным языком, и совсем не похожа школьные учебники или сложные научные издания. Это новый взгляд на искусство, поражающий своей откровенностью, свободой и современностью. Вы узнаете обратную сторону жизни известных художников – уголовные преступления, психические расстройства, связи и, конечно же, море информации про шедевры, которые они создавали. Фишки книги:-Яркие иллюстрации -Стильное оформление  -Простая подача материала от искусствоведа Для кого эта книгаЭта книга для всех, кто интересуется искусством и хочет научиться в нем разбираться, кто хочет узнать о жизни художников, кому скучна обычная подача материала.",7 100 тг,0,Бомбора,2018 г.,9785040973781,336,Твердый,215 мм x 170 мм,501 г.,http://www.bookcity.kz/content/images/thumbs/5131651_1464017.jpeg
ART/WORK: Как стать успешным художником,"Бхандари Х., Мельбер Д.","Цитата  Мы подумали, что неплохо было бы написать книгу, которая разъяснила бы художникам, что и как они должны делать, чтобы продавать свои работы, и ответила бы на все те вопросы, которые нам не перестают задавать. Хизер Дарси Бхандари и Джонатан Мельбер  О чем книга Художникам приходится делать множество вещей, с творчеством никак не связанных: созданные работы нужно где-то выставлять, покупателей на них - искать, и все это порой сопровождается немалым количеством бумажной работы. Это руководство - незаменимая книга для любого художника. Вы найдете в ней множество полезных советов буквально обо всем, что вам следует знать: поиски галереи и подача заявки на грант, выбор резидентской программы и оформление документов, упаковка работ и расположение их в пространстве.  Почему книга достойна прочтения   Это единственная книга, в которой нет общих слов или рассуждений о вдохновении. Здесь все четко и по делу. Вы сможете упорядочить свою профессиональную жизнь, а значит, будете больше времени уделять искусству. Книга дополнена цитатами из бесед с людьми из мира искусства: галеристами и кураторами, бухгалтерами и юристами и, конечно же, с самими художниками, что помогает создать у читателя объективную картину.  Кто авторы Хизер Дарси Бхандари - директор и куратор Mixed Greens Gallery в Нью-Йорке. Джонатан Мельбер - юрист, специализирующийся в области искусства. Уже много лет представляет интересы современных художников.  Отзывы о книге: ""Если вам кажется, что вы всегда в неправильном месте и в неправильное время, что все правильные люди вас чураются и ваша художественная жизнь (а ведь вы - художник) вся ""наперекосяк"", прочитайте эту книгу и успокойтесь. Единых правил для всех не существует, и вы сами формируете ваши собственные правила игры. Но чтобы они работали, всё должно выстраиваться в систему правил. Если же вы против системы и за художественный беспорядок, все равно прочтите эту книгу. Ведь даже нарушать правила и ломать систему надо осознанно, детально представляя, что ты ломаешь."" Георгий Литичевский, художник  ""Очень полезная, подробная и тщательная книга. Для меня как для арт-дилера очень важно, что труд художника в ней описан как работа и ответственность, а не только как гениальные концепции и феерия вдохновений. Гений в наше время не может реализоваться без всех этих бытовых подробностей, описанных в книге. И эти подробности отнюдь не второстепенны, как может показаться некоторым начинающим творцам.""Эльвира Тарноградская, ArtikaProject",6 600 тг,5,Альпина Паблишер,2019 г.,9785961469103,288,Мягкий,20 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5124289_1456949.jpeg
Dahljensen Porcelain Figurines 1897-1985,Неизвестно,-,8 200 тг,0,Schiffer books,2007 г.,9780764317606,192,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5008271_1329830.jpeg
Dolls and Accessories 1910-1930,Неизвестно,"Features over 520 photographs of dolls from the years 1910-1930 made of bisque, celluloid, cloth, composition, metal, and wood. Companies represented include Kestner, Armand Marseilles, Geubrder Heubach, Kthe Kruse, Lenci, Horsman, Ideal, Effanbee, Louis Amberg & Son, and Schoenhut. Special chapters showcase World War I related dolls, comic and celebrity dolls, boudoir and pincushion (half) dolls, plus interesting furniture and accessories. Includes full descriptions, vintage advertisements, andcurrent values.",5 000 тг,0,Schiffer books,2007 г.,9780764325502,176,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5008997_1330549.jpeg
Elizabeth Taylor: her life in style,Неизвестно,Элизабет Тейлор: жизнь и стиль,12 200 тг,0,A & C Black,2012 г.,9781408155417,128,280 мм x 225 мм,11 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5013892_1335703.jpeg
GAYs. Они изменили мир,Дегтярева В.,"Элтон Джон и Фредди Меркьюри, Джордж Майкл и Джанни Версаче, Кристиан Диор и Ив Сен-Лоран, Доменико Дольче и Стефано Габбана, Оскар Уайлд и Стивен Фрай, Петр Чайковский и Сергей Дягилев... Без этих имен невозможно представить современное искусство — музыку, моду, литературу, кинематограф. Без этих талантов наш мир был бы совсем другим. Они родились, чтобы сделать его ярче, красочнее, богаче, свободнее. Они изменили его навсегда.",8 000 тг,2,Эксмо,2011 г.,9785699457038,272,Твердый,193 мм x 275 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5002305_1323921.jpeg
Hopper (Basic Art),Неизвестно,"Edward Hopper is something of an American success story, if only his success  had come swifter. At the age of 40, he was a failing artist who struggled to sell a single  painting. As he approached 80, Time magazine featured him on its cover. Today, half a  century after his death, Hopper is considered a giant of modern expression, with an  uncanny, unforgettable, and utterly distinct sense for mood and place. Much of Hopper's work excavates modern city experience. In canvas after canvas, he  depicts diners, cafes, shopfronts, street lights, gas stations, rail stations, and hotel rooms.  The scenes are marked by vivid color juxtapositions and stark, theatrical lighting, as well as  by harshly contoured figures, who appear at once part of, and alien to, their surroundings.  The ambiance throughout his repertoire is of an eerie disquiet, alienation, loneliness and  psychological tension, although his rural or coastal scenes can offer a counterpoint of  tranquility or optimism. This book presents key works from Hopper's oeuvre to introduce a key player not only in  American art history but also in the American psyche.",9 700 тг,0,Taschen,2017 г.,9783836500333,Твердый,265 мм x 215 мм,12 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123785_1456489.jpeg
Tiffany Desk Treasures,Неизвестно,"This comprehensive reference provides a history of Tiffany the man, and of the wonderful desk sets produced by Tiffany Studios and Tiffany Furnaces. describes each pattern. illustrates representative examples. and lists the hundreds of known pieces with model numbers and current price ranges.",9 600 тг,0,Hudson Hills Press,2002 г.,978155595217455000,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5032572_1354751.jpeg
Wet Men. Боги на пляже,Руссо Ф.,"Франсуа Руссо - легенда эротического искусства. Созданные им образы мужчин будоражат своей брутальностью и чувственностью. Альбом ""Wet Men. Боги на пляже"" - это гимн красоте мужского тела, запечатленного в воде, на песке, под лучами солнца. Мужчины играют в воде, а вода играет на их телах, подчеркивая атлетические изгибы мускулов, приумножая чувственность мужской кожи.",16 300 тг,0,Эксмо,2012 г.,9785699576517,152,Твердый,18 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5045883_1368506.jpeg
